"Отметка времени","What is your age?","What is your gender?","What is your highest education level?","What is your employment status?","If employed, which industry do you work in?","What is your monthly income level?","How frequently do you purchase products or services online?","How important is brand name when choosing a product or service?","How important is logo design when choosing a product or service?","Which attributes are most important when choosing a brand?","Do you trust unfamiliar brands? (brands you have little or no prior knowledge about)?","Do you own many items from unfamiliar brands? (brands you were not familiar with before purchasing)","How likely are you to recommend a brand (excluding clothing) based only on its name and logo?","How likely are you to recommend a clothing brand based only on its name and logo?","What influences your brand choices most?","How memorable is the brand ""Ecotiva""?","What industry does the brand ""Ecotiva"" belong to?","How visually attractive is the brand ""Ecotiva""?","How would you rate the name ""Ecotiva""?","How memorable is the brand ""Visioniq""?","What industry does the brand ""Visioniq"" belong to?","How visually attractive is the brand ""Visioniq""?","How would you rate the name ""Visioniq""?","How memorable is the brand ""Norse Projects""?","What industry does the brand ""Norse Projects"" belong to?","How visually attractive is the brand ""Norse Projects""?","How would you rate the name ""Norse Projects""?","How memorable is the brand ""Fidelicon""?","What industry does the brand ""Fidelicon"" belong to?","How visually attractive is the brand ""Fidelicon""?","How would you rate the name ""Fidelicon""?","How memorable is the brand ""Seedlip""?","What industry does the brand ""Seedlip"" belong to?","How visually attractive is the brand ""Seedlip""?","How would you rate the name ""Seedlip""?","How memorable is the brand ""Seraphic""?","What industry does the brand ""Seraphic"" belong to?","How visually attractive is the brand ""Seraphic""?","How would you rate the name ""Seraphic""?","How memorable is the brand ""Grove Collaborative""?","What industry does ""Grove Collaborative"" belong to?","How visually attractive is ""Grove Collaborative""?","How would you rate the name ""Grove Collaborative""?","How memorable is the brand ""Etiera""?","What industry does ""Etiera?","How visually attractive is ""Etiera""?","How would you rate the name ""Etiera""?","How memorable is the brand ""Plaid""?","What industry does the brand ""Plaid"" belong to?","How visually attractive is the brand ""Plaid""?","How would you rate the name ""Plaid""?","How memorable is the brand ""Verdura""?","What industry does ""Verdura?","How visually attractive is ""Verdura""?","How would you rate the name ""Verdura""?","How memorable is the brand ""Northvolt""?","What industry does the brand ""Northvolt"" belong to?","How visually attractive is the brand ""Northvolt""?","How would you rate the name ""Northvolt""?","How memorable is the brand ""Klevu""?","What industry does the brand ""Klevu"" belong to?","How visually attractive is the brand ""Klevu""?","How would you rate the name ""Klevu""?","Which logo do you prefer? (Norse Projects or Etiera)","Which brand name do you prefer? (Norse Projects or Etiera)","Which logo do you prefer? (Verdura or Seedlip)","Which brand name do you prefer? (Verdura or Seedlip)","Which logo do you prefer? (Ecotiva or Groove Collaborative)","Which brand name do you prefer? (Ecotiva or Groove Collaborative)","Which logo do you prefer? (Seraphic or Plaid)","Which brand name do you prefer? (Seraphic or Plaid)"
"2025/04/30 10:33:56 AM GMT+3","25–34","Male","Bachelor's degree","Employed full-time","Services","€2000–€3000","Weekly","4","3","Price;Quality","Rarely","Very few","2","3","Online reviews","3","Health","4","Good","4","Services","5","Good","1","Services","1","Bad","4","Services","4","Good","2","Marketing","2","Bad","3","Health","4","Good","2","Media","3","Neutral","3","Tech","4","Good","3","Media","4","Neutral","4","Health","5","Very good","3","Fashion","4","Good","3","Fashion","3","Neutral","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 10:35:09 AM GMT+3","25–34","Male","Other","Student","Not employed","Under €1000","Monthly","4","2","Clarity;Uniqueness;Price;Quality","Sometimes","A few","2","2","Online reviews","2","Food","3","Neutral","3","Health","4","Good","1","Marketing","1","Bad","3","Services","3","Good","3","Fashion","3","Good","4","Health","4","Good","3","Finance","3","Good","2","Retail","1","Neutral","3","Media","3","Neutral","4","Food","3","Good","3","Tech","3","Very good","3","Fashion","4","Good","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 10:38:29 AM GMT+3","35–44","Male","Doctorate","Employed full-time","Health","Over €4000","Monthly","4","3","Attractiveness;Clarity;Uniqueness;Trustworthiness;Price;Quality","Rarely","Very few","5","4","Online reviews","1","Health","4","Good","1","Retail","3","Good","1","Marketing","1","Very bad","1","Industry","2","Neutral","3","Finance","2","Neutral","5","Health","4","Good","3","Health","4","Very good","3","Finance","4","Very bad","2","Fashion","2","Very bad","2","Education","2","Good","1","Food","2","Bad","5","Fashion","2","Good","2","Norse Projects","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 10:38:35 AM GMT+3","35–44","Female","Master's degree","Employed full-time","Other","€1000–€2000","Weekly","4","4","Memorability;Clarity;Trustworthiness;Price;Quality","Sometimes","A few","3","3","Online reviews","4","Food","4","Good","2","Health","3","Bad","4","Industry","2","Good","4","Services","3","Neutral","4","Health","3","Very good","4","Health","4","Neutral","2","Fashion","2","Neutral","4","Services","3","Good","4","Retail","2","Neutral","5","Health","5","Good","4","Media","4","Very good","3","Finance","2","Neutral","2","Norse Projects","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 10:40:32 AM GMT+3","18–24","Female","Bachelor's degree","Employed full-time","Tech","€3000–€4000","Monthly","5","4","Price","Rarely","Very few","4","3","Magazines/Newspapers","1","Retail","3","Good","4","Marketing","2","Good","3","Tech","2","Bad","2","Services","5","Very good","2","Food","5","Very good","4","Health","5","Good","4","Industry","5","Good","3","Marketing","4","Very good","4","Services","5","Very good","3","Media","5","Very good","1","Industry","2","Bad","4","Finance","4","Good","2","Norse Projects","1","Seedlip","1","Groove Collaborative","1","Plaid"
"2025/04/30 10:43:10 AM GMT+3","45+","Female","Bachelor's degree","Employed full-time","Education","Over €4000","Weekly","4","4","Memorability;Attractiveness;Uniqueness;Trustworthiness;Price;Quality","Sometimes","A few","4","5","Online reviews","4","Health","4","Neutral","3","Media","2","Bad","3","Services","3","Neutral","3","Tech","4","Good","3","Industry","3","Neutral","4","Tech","4","Good","4","Fashion","4","Good","3","Retail","4","Good","4","Fashion","4","Good","4","Retail","4","Good","4","Services","3","Good","4","Fashion","4","Good","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 10:45:06 AM GMT+3","35–44","Male","Master's degree","Employed full-time","Tech","€2000–€3000","Monthly","5","3","Attractiveness;Uniqueness;Trustworthiness;Quality","Sometimes","A few","3","3","Online reviews","4","Food","5","Good","4","Tech","4","Good","2","Services","2","Neutral","4","Finance","4","Very good","4","Other","5","Very good","5","Health","5","Very good","5","Services","5","Very good","5","Marketing","5","Very good","5","Industry","3","Neutral","5","Health","5","Very good","4","Industry","4","Neutral","4","Industry","4","Neutral","2","Etiera","1","Verdura","2","Groove Collaborative","1","Seraphic"
"2025/04/30 10:47:10 AM GMT+3","18–24","Female","Bachelor's degree","Student","Not employed","Prefer not to say","Rarely","3","3","Attractiveness;Clarity;Uniqueness;Trustworthiness;Quality","Sometimes","A few","3","3","Friends and family","1","Other","2","Neutral","2","Other","3","Neutral","3","Fashion","4","Good","2","Retail","2","Neutral","1","Other","3","Neutral","1","Health","2","Neutral","4","Other","3","Neutral","3","Other","4","Good","2","Other","4","Very good","3","Other","5","Very good","2","Other","2","Neutral","3","Other","3","Neutral","2","Etiera","1","Verdura","2","Ecotiva","1","Plaid"
"2025/04/30 1:16:46 PM GMT+3","18–24","Female","High school","Employed part-time","Tech","€1000–€2000","Monthly","5","3","Attractiveness;Popularity","Sometimes","Very few","4","3","Social media","3","Industry","2","Neutral","2","Other","2","Bad","1","Industry","1","Very bad","4","Media","4","Good","5","Fashion","4","Good","5","Health","5","Very good","4","Services","4","Neutral","3","Industry","2","Neutral","1","Other","1","Very bad","5","Fashion","5","Good","4","Education","4","Good","2","Industry","3","Neutral","1","Etiera","1","Seedlip","1","Ecotiva","1","Seraphic"
"2025/04/30 1:18:08 PM GMT+3","25–34","Female","Master's degree","Employed full-time","Finance","€3000–€4000","Monthly","4","3","Attractiveness;Clarity;Uniqueness;Trustworthiness;Price;Quality","Sometimes","A few","1","1","Social media","2","Food","3","Neutral","2","Tech","4","Good","3","Services","4","Bad","4","Industry","4","Bad","5","Food","5","Good","4","Tech","5","Very good","1","Fashion","1","Bad","1","Tech","4","Bad","1","Finance","1","Bad","1","Tech","1","Very bad","1","Tech","1","Very bad","1","Tech","1","Very bad","2","Etiera","2","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 1:20:18 PM GMT+3","18–24","Female","Bachelor's degree","Student","Education","Under €1000","Monthly","3","2","Price;Quality","Sometimes","A few","3","3","Online reviews","3","Food","4","Good","3","Tech","4","Good","2","Industry","2","Neutral","2","Tech","2","Neutral","3","Fashion","4","Neutral","3","Health","3","Good","2","Services","2","Good","1","Marketing","2","Good","4","Tech","1","Neutral","4","Health","3","Good","2","Fashion","3","Good","4","Industry","3","Neutral","1","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 1:23:11 PM GMT+3","18–24","Male","Bachelor's degree","Student","","€1000–€2000","Weekly","4","3","Attractiveness;Uniqueness;Trustworthiness;Price;Quality","Sometimes","A few","3","3","Online reviews","4","Health","4","Good","4","Tech","5","Very good","4","Services","1","Neutral","4","Services","2","Neutral","4","Education","4","Good","4","Tech","4","Good","4","Education","5","Very good","2","Health","4","Good","4","Fashion","4","Neutral","1","Health","4","Neutral","1","Finance","4","Good","2","Education","4","Good","2","Norse Projects","1","Verdura","2","Groove Collaborative","1","Plaid"
"2025/04/30 1:23:52 PM GMT+3","18–24","Female","Master's degree","Student","Food","€1000–€2000","Monthly","2","2","Attractiveness;Uniqueness;Trustworthiness;Price;Quality","Sometimes","A few","2","1","Online reviews","2","Industry","2","Neutral","2","Tech","1","Bad","4","Retail","2","Neutral","2","Tech","2","Bad","2","Services","1","Very bad","3","Tech","3","Good","2","Marketing","2","Bad","3","Services","2","Bad","3","Education","2","Neutral","4","Health","4","Good","4","Finance","3","Neutral","4","Tech","3","Bad","1","Norse Projects","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 1:27:09 PM GMT+3","18–24","Male","Master's degree","Student","Not employed","Under €1000","Monthly","3","3","Attractiveness;Uniqueness;Price;Quality;Popularity","Rarely","A few","4","4","Friends and family","2","Health","2","Neutral","2","Retail","2","Bad","2","Fashion","2","Very bad","3","Services","3","Neutral","2","Health","2","Bad","4","Services","3","Good","3","Finance","3","Neutral","3","Health","3","Good","3","Industry","3","Bad","4","Health","3","Good","3","Fashion","3","Neutral","2","Services","2","Bad","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 1:30:13 PM GMT+3","35–44","Male","Master's degree","Student","Not employed","Under €1000","Rarely","4","4","Attractiveness;Trustworthiness;Price;Quality","Sometimes","Many","2","2","Friends and family","2","Retail","4","Bad","2","Tech","1","Bad","1","Fashion","1","Bad","5","Tech","2","Good","2","Fashion","1","Very bad","5","Health","5","Very good","2","Services","2","Bad","4","Retail","3","Neutral","4","Fashion","1","Good","2","Health","3","Good","4","Tech","2","Good","5","Services","5","Good","2","Norse Projects","1","Verdura","1","Groove Collaborative","1","Seraphic"
"2025/04/30 1:30:36 PM GMT+3","18–24","Female","Master's degree","Student","Not employed","Under €1000","Rarely","3","3","Attractiveness;Price;Quality","Usually","Many","2","2","Friends and family","3","Fashion","3","Neutral","3","Tech","3","Bad","3","Other","1","Very bad","3","Tech","1","Bad","3","Food","1","Very bad","4","Health","4","Neutral","3","Industry","2","Good","3","Fashion","4","Good","3","Tech","2","Good","3","Food","4","Bad","3","Fashion","4","Neutral","3","Food","3","Good","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 1:38:20 PM GMT+3","25–34","Male","Bachelor's degree","Employed full-time","Education","€2000–€3000","Weekly","4","4","Attractiveness;Clarity","Always","A few","4","4","Friends and family","4","Education","4","Good","4","Finance","4","Neutral","4","Health","4","Good","4","Finance","4","Neutral","4","Services","4","Good","4","Services","4","Good","4","Finance","4","Good","5","Fashion","5","Good","4","Retail","4","Good","4","Finance","4","Very good","4","Industry","4","Good","4","Marketing","4","Neutral","2","Etiera","1","Seedlip","1","Groove Collaborative","2","Plaid"
"2025/04/30 1:47:25 PM GMT+3","18–24","Female","High school","Student","","€1000–€2000","Monthly","2","2","Memorability;Clarity;Trustworthiness;Price","Sometimes","A few","2","3","Social media","4","Tech","4","Good","2","Marketing","1","Bad","2","Education","1","Very bad","3","Industry","3","Neutral","2","Fashion","4","Neutral","3","Health","3","Neutral","3","Services","2","Neutral","2","Fashion","1","Bad","4","Fashion","4","Good","4","Health","4","Good","2","Tech","2","Bad","4","Health","4","Good","2","Etiera","1","Seedlip","1","Ecotiva","2","Plaid"
"2025/04/30 2:03:25 PM GMT+3","25–34","Male","Other","Student","Tech","€1000–€2000","Monthly","4","3","Price;Quality","Sometimes","Very few","2","3","Social media","3","Health","4","Good","2","Tech","3","Neutral","2","Fashion","2","Bad","2","Tech","2","Neutral","2","Services","2","Neutral","2","Tech","2","Neutral","2","Finance","2","Good","3","Fashion","2","Neutral","3","Media","2","Neutral","4","Food","2","Neutral","2","Tech","2","Neutral","1","Services","1","Bad","2","Etiera","2","Seedlip","1","Ecotiva","1","Plaid"
"2025/04/30 2:03:37 PM GMT+3","25–34","Female","Bachelor's degree","Employed full-time","Health","€2000–€3000","Monthly","4","3","Memorability;Trustworthiness;Price;Quality","Rarely","Very few","3","4","Friends and family","4","Other","4","Very good","4","Health","4","Good","2","Services","2","Bad","3","Tech","3","Bad","2","Fashion","1","Very bad","3","Tech","4","Good","2","Fashion","2","Neutral","4","Fashion","3","Very good","2","Fashion","1","Bad","4","Services","5","Good","2","Marketing","2","Very bad","3","Industry","2","Bad","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 2:04:10 PM GMT+3","25–34","Female","High school","Employed part-time","Marketing","Under €1000","Weekly","5","5","Attractiveness;Price;Quality","Always","Many","4","4","Social media","3","Food","1","Bad","2","Tech","2","Very bad","3","Marketing","3","Good","4","Services","5","Good","3","Food","3","Good","3","Health","3","Good","4","Services","3","Neutral","2","Tech","2","Neutral","4","Retail","3","Neutral","3","Food","3","Neutral","2","Tech","2","Neutral","2","Fashion","2","Neutral","2","Etiera","2","Seedlip","2","Groove Collaborative","1","Seraphic"
"2025/04/30 2:06:00 PM GMT+3","25–34","Male","Master's degree","Employed full-time","Food","Over €4000","Weekly","5","5","Memorability;Clarity;Uniqueness;Price;Quality","Rarely","Very few","4","5","Online reviews","4","Food","3","Very good","3","Marketing","4","Good","3","Fashion","4","Good","3","Finance","3","Neutral","4","Food","3","Neutral","2","Health","4","Neutral","4","Industry","3","Good","3","Finance","3","Very good","3","Finance","3","Very good","3","Industry","3","Good","3","Industry","3","Good","3","Industry","3","Neutral","1","Etiera","1","Verdura","1","Ecotiva","2","Seraphic"
"2025/04/30 2:07:26 PM GMT+3","35–44","Female","Master's degree","Employed full-time","Finance","Under €1000","Monthly","3","3","Trustworthiness;Price;Quality","Sometimes","A few","2","2","Social media","3","Tech","3","Neutral","4","Tech","4","Good","2","Industry","3","Neutral","3","Services","2","Neutral","3","Finance","3","Neutral","4","Services","4","Neutral","3","Industry","2","Bad","3","Marketing","3","Good","3","Finance","3","Neutral","4","Health","4","Neutral","3","Finance","2","Bad","3","Retail","3","Neutral","2","Etiera","1","Verdura","1","Ecotiva","1","Plaid"
"2025/04/30 2:14:30 PM GMT+3","45+","Male","Other","Self-employed","Other","€1000–€2000","Monthly","5","5","Attractiveness;Trustworthiness;Quality","Rarely","Very few","5","5","Advertising","3","Health","3","Good","2","Tech","4","Good","4","Tech","5","Good","5","Services","2","Good","3","Food","2","Good","4","Health","4","Good","3","Other","2","Good","5","Industry","4","Good","3","Industry","2","Neutral","4","Health","4","Good","4","Services","2","Good","5","Marketing","5","Good","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 2:17:41 PM GMT+3","25–34","Male","Bachelor's degree","Employed full-time","Tech","€3000–€4000","Weekly","2","4","Attractiveness;Trustworthiness;Price;Quality","Usually","A few","3","2","Social media","2","Industry","4","Very good","4","Health","4","Good","4","Services","1","Good","4","Tech","3","Neutral","5","Food","5","Very good","5","Services","4","Very good","4","Other","3","Good","3","Health","3","Bad","5","Fashion","5","Very good","4","Health","5","Very good","5","Services","5","Very good","5","Health","4","Bad","1","Norse Projects","2","Verdura","1","Ecotiva","2","Seraphic"
"2025/04/30 2:20:12 PM GMT+3","25–34","Female","Doctorate","Employed full-time","Education","€3000–€4000","Monthly","5","5","Attractiveness;Uniqueness;Quality;Popularity","Sometimes","A few","5","5","Online reviews","5","Tech","5","Very good","5","Tech","5","Very good","5","Industry","5","Very good","5","Tech","5","Very good","5","Retail","5","Very good","5","Health","5","Very good","5","Retail","5","Very good","5","Fashion","5","Very good","5","Media","5","Very good","5","Fashion","5","Very good","5","Finance","5","Very good","5","Tech","5","Very good","2","Etiera","2","Seedlip","1","Ecotiva","1","Seraphic"
"2025/04/30 2:22:55 PM GMT+3","45+","Male","High school","Self-employed","Retail","€2000–€3000","Weekly","3","1","Trustworthiness;Price;Quality","Sometimes","A few","3","2","Online reviews","4","Retail","4","Good","3","Tech","3","Good","4","Fashion","3","Good","3","Other","2","Neutral","3","Retail","3","Neutral","3","Tech","3","Neutral","4","Retail","4","Good","2","Retail","2","Bad","2","Tech","2","Bad","2","Tech","2","Bad","4","Industry","4","Good","4","Tech","4","Good","1","Norse Projects","2","Seedlip","1","Ecotiva","1","Seraphic"
"2025/04/30 2:23:44 PM GMT+3","18–24","Male","Other","Student","Not employed","Under €1000","Weekly","1","2","Trustworthiness;Quality","Sometimes","Many","1","2","Online reviews","1","Health","2","Bad","1","Tech","1","Very bad","3","Other","1","Good","2","Tech","2","Very bad","2","Fashion","1","Very bad","2","Health","2","Bad","1","Food","1","Neutral","1","Health","1","Neutral","2","Fashion","1","Very bad","3","Health","2","Good","2","Fashion","2","Neutral","2","Tech","2","Very bad","2","Norse Projects","1","Verdura","1","Groove Collaborative","1","Seraphic"
